epoch,acc,loss,lr,val_acc,val_loss
0,0.553,1.1367919119205325,0.001,0.15,4.603234608471394
1,0.859,0.43917161067714916,0.001,0.05,3.7571949541568754
2,0.945,0.1853812810520176,0.001,0.2,4.516069811908528
3,0.958,0.13362212813668883,0.001,0.4,2.852710307529196
4,0.965,0.12792331866713358,0.001,0.15,4.949782241089269
5,0.977,0.08345263715664623,0.001,0.05,4.275984627008438
6,0.969,0.09734683306238731,0.001,0.3,3.548923243221361
7,0.975,0.07638955944305054,0.001,0.5,3.8830215977039186
8,0.995,0.025318725414283108,0.001,0.3,4.937867691926658
9,0.972,0.08541587870025251,0.001,0.1,6.459690592065454
10,0.982,0.05791274885521852,0.001,0.25,4.745934362953994
11,0.992,0.028436418622179188,0.001,0.1,6.255029552616179
12,0.978,0.07778050715725113,0.001,0.1,5.415551977715222
13,0.986,0.046757085045595885,0.001,0.3,4.77088702681358
14,0.992,0.026951726288891222,0.001,0.2,5.732376568787731
15,0.997,0.01504725827670336,0.000100000005,0.2,4.9204242992214855
16,0.999,0.009685789166665928,0.000100000005,0.15,4.27135778220836
17,1.0,0.0022929929307720157,0.000100000005,0.1,6.044831680203788
18,1.0,0.0020757593892558363,0.000100000005,0.2,4.8484265291932385
19,1.0,0.0012989453969566966,0.000100000005,0.45,3.8917689931411585
20,1.0,0.0008343851016979898,0.000100000005,0.35,5.449280701356474
21,1.0,0.0009295880758509157,0.000100000005,0.4,4.445171630376717
22,0.999,0.0019027512610664417,0.000100000005,0.1,7.058643864095211
23,1.0,0.0003981792103659245,0.000100000005,0.15,5.0076023787260056
24,1.0,0.0003233372971008066,0.000100000005,0.35,4.158626745471702
25,1.0,0.00022872100896529447,1.0000001e-05,0.5,4.402729700280179
26,1.0,0.0002378254153099988,1.0000001e-05,0.15,5.540920053422451
27,1.0,0.0002264232779816666,1.0000001e-05,0.3,4.192515081118836
28,0.999,0.0027363752288056277,1.0000001e-05,0.35,4.642483757908667
29,1.0,0.00020314070312088005,1.0000001e-05,0.45,4.52965773794931
