epoch,acc,loss,lr,val_acc,val_loss
0,0.35,1.614373986147344,1e-05,0.225,3.2623201572766094
1,0.581,1.1446351518751818,1e-05,0.36,2.7244229271142286
2,0.71,0.8368708872595686,1e-05,0.305,2.953880875090555
3,0.816,0.5434634573777928,1e-05,0.425,3.3270906529697
4,0.873,0.3957771369628322,1e-05,0.475,3.2061804469419206
5,0.855,0.4505039039425214,1e-05,0.45,3.6303614383984786
6,0.905,0.2933450647330497,1e-05,0.39,4.35801299995289
7,0.9,0.29904722730255157,1e-05,0.435,3.0160473049311647
8,0.926,0.2177833092585779,1e-05,0.43,2.876874736737022
9,0.942,0.18052782323408395,1e-05,0.37,4.453631559676167
10,0.928,0.22286079218069824,1e-05,0.485,2.9797423942106516
11,0.955,0.1373305076026266,1e-05,0.44,3.7663260295379213
12,0.96,0.12999719564047651,1e-05,0.46,3.8641371324108165
13,0.974,0.08881410681079673,1e-06,0.5,3.682649161892359
14,0.982,0.07560373940195685,1e-06,0.445,4.182314752686828
